long,lat,no
130.37531,-15.866489999999999,1
143.37495,-12.74438,1
143.18558000000002,-14.039579999999999,1
132.74899,-11.78531,1
144.34258,-15.985470000000001,1
134.4555,-12.1738,1
141.54041,-34.72874,1
132.7598,-11.786,1
134.5683,-12.28182,1
142.18848,-12.44903,1
132.1155,-11.3726,1
143.2771,-12.7961,1
142.6101,-12.6587,1
150.14975,-31.607470000000003,1
125.32178,-17.16082,1
128.13432,-16.99505,1
136.89911,-16.03275,1
132.13487,-11.378910000000001,1
130.76616,-13.38765,1
136.9479,-16.0984,1
148.91556,-31.49298,1
132.9852,-14.5446,1
141.93787,-12.52176,1
134.40596000000002,-12.45778,1
135.6109,-15.4566,1
141.41064,-35.02747,1
129.8463,-14.1937,1
134.40524,-12.46441,1
132.0565,-12.8078,1
142.44799999999998,-10.76473,1
149.09528999999998,-27.50852,1
136.64046000000002,-13.801020000000001,1
131.59972,-15.540339999999999,1
132.94971,-14.55185,1
149.78955,-27.21208,1
134.37564,-12.18562,1
136.44949,-13.91782,1
135.7346,-13.6373,1
142.36803,-10.954360000000001,1
130.27678,-15.821420000000002,1
142.3141,-10.18248,1
126.3801,-27.031390000000002,1
132.79113999999998,-11.76014,1
144.39923000000002,-16.01729,1
133.0699,-12.27091,1
134.8611,-12.3825,1
150.15167,-31.6026,1
150.08093,-27.00115,1
131.0189,-13.2365,1
134.45979,-15.25334,1
134.45885,-12.16768,1
132.85561,-14.25189,1
135.15936000000002,-12.56484,1
130.31882,-15.78571,1
135.3725,-12.53,1
132.29639,-14.41978,1
125.48167,-26.171110000000002,1
142.76837,-17.0231,1
136.54823000000002,-16.156760000000002,1
141.93356,-12.51838,1
142.31993,-10.18133,1
136.54195,-16.2065,1
130.2664,-15.8038,1
134.45999,-12.11555,1
148.60266000000001,-22.978170000000002,1
134.56686000000002,-12.28974,1
142.57185,-11.107339999999999,1
135.73453,-13.633820000000002,1
136.68343000000002,-13.820170000000001,1
134.47299999999998,-12.171,1
150.19156,-29.498459999999998,1
134.45671000000002,-15.25155,1
126.40411,-27.038490000000003,1
136.48773,-16.34155,1
130.76691,-13.38863,1
135.6111,-15.4448,1
135.61441000000002,-15.454070000000002,1
152.11378,-31.669890000000002,2
144.41208,-16.03259,2
126.40161,-27.050659999999997,2
153.12161,-28.072490000000002,2
133.07028,-12.26093,2
147.65115,-41.80457,2
148.87448,-31.758029999999998,2
134.49535,-12.52373,2
150.03933999999998,-26.568590000000004,2
132.76958,-11.79262,2
135.6113,-15.425629999999998,2
142.96492,-12.83025,2
150.7886,-28.997840000000004,2
130.37138000000002,-15.809170000000002,2
136.46688999999998,-16.39785,2
130.73166,-13.335,2
133.186,-15.44868,2
143.35275,-12.749139999999999,2
134.9411,-12.254000000000001,2
142.0694,-15.589139999999999,2
130.3286,-15.7865,2
131.5574,-12.787180000000001,2
144.34833999999998,-16.059,2
126.6148,-14.4591,2
126.42806999999999,-27.042379999999998,2
126.68574,-14.442879999999999,2
135.78505,-11.94153,2
142.78546,-17.02896,2
144.21213,-16.06905,2
136.3857,-16.4295,2
143.35133000000002,-12.9809,2
132.04457,-12.76944,2
134.9393,-12.264000000000001,2
136.43587,-12.3074,2
152.81094,-31.299970000000002,2
144.4109,-15.99461,2
134.95895,-12.25079,2
130.76193,-13.07438,2
131.55095,-12.78609,2
130.90051,-11.82595,2
149.78456,-31.22263,2
141.90549,-12.08573,2
136.4235,-16.365,2
136.40935,-12.42352,2
141.8611,-12.8626,2
142.09175,-12.33826,2
142.77649,-17.03779,2
134.4508,-15.2599,2
129.8431,-14.19,2
142.3667,-10.9849,2
132.29341000000002,-12.68748,2
144.2545,-16.1078,2
136.47668000000002,-16.389470000000003,2
142.0586,-12.3023,2
133.20224,-15.52225,2
150.60327,-22.6733,2
126.64261,-14.467310000000001,2
151.10703,-26.14999,2
133.14963,-15.330770000000001,2
126.6093,-14.4615,2
135.02199,-14.7206,2
130.27499,-11.7237,2
142.08928999999998,-12.32427,2
143.3378,-12.981489999999999,2
133.08426,-14.493520000000002,2
134.53038,-12.13374,2
142.1451,-15.737589999999999,2
150.60922,-22.71958,2
130.96451000000002,-13.349470000000002,2
150.78576999999999,-28.99473,2
142.90666000000002,-13.16355,2
143.45726000000002,-14.27118,2
150.77487,-29.00508,2
131.0779,-13.3536,2
144.41478,-16.01582,2
135.60172,-12.12451,2
130.73317,-13.12094,2
141.4413,-34.5859,2
132.97002,-14.56054,2
133.2009,-15.51029,2
134.44974,-12.16868,2
133.83831999999998,-12.50331,2
135.49733,-12.29655,2
150.60992,-22.70049,2
130.75739,-13.119710000000001,2
126.64108999999999,-14.477889999999999,2
142.79636000000002,-16.98416,2
142.61227,-12.679680000000001,2
126.62183999999999,-14.439910000000001,2
150.58359,-22.67687,2
148.15045,-28.02031,2
142.54805,-11.122010000000001,2
132.92436,-14.5236,2
136.37872,-16.44766,2
144.34941,-16.05229,2
142.27969,-34.20957,2
136.41128999999998,-16.39968,2
144.37097,-16.149,2
134.44368,-12.1764,2
125.3048,-17.1594,2
141.44969,-34.56966,2
135.6167,-15.45434,2
130.3491,-15.8069,2
136.4352,-16.3779,2
133.0002,-12.45557,2
135.58328,-12.12395,2
132.02409,-12.77233,2
136.41681,-16.36615,2
143.00883000000002,-12.955169999999999,2
146.43571,-32.976490000000005,2
135.59813,-12.12507,2
135.73183999999998,-13.62911,2
125.30346999999999,-17.175279999999997,2
147.20956,-32.69801,2
129.88779,-14.317860000000001,2
130.22852,-15.84099,2
136.41855,-16.39854,2
147.0906,-32.0762,2
142.07765,-12.31679,2
136.38577,-16.38123,2
130.23353999999998,-15.82364,2
142.90947,-13.14674,2
142.3466,-10.9709,2
126.46663999999998,-27.04738,2
146.96962,-32.33818,2
143.33676,-12.78647,2
135.63486,-15.412729999999998,2
130.24597,-15.830379999999998,2
143.37402,-12.73196,2
131.56198,-12.791780000000001,2
126.6471,-14.477170000000001,2
142.78374,-17.03894,2
129.83921999999998,-14.18926,2
136.38158,-16.43422,2
150.46416000000002,-28.134079999999997,2
131.06914,-13.2318,2
146.1094,-18.3981,2
142.06848,-12.31105,2
133.1628,-15.35203,2
143.067,-13.629539999999999,2
133.15497,-15.340179999999998,2
130.25125,-15.87455,2
135.66879,-12.10721,2
142.61325,-12.6547,2
134.55365,-12.2511,2
142.0975,-12.32766,2
142.123,-12.82982,2
150.76105,-26.363559999999996,2
131.5639,-12.7999,2
133.15776,-15.364279999999999,2
134.4644,-15.2634,2
126.46338999999999,-27.050040000000003,2
134.43958,-15.26005,2
142.2711,-10.17062,2
153.1201,-28.0744,2
134.47517,-12.53358,2
144.38144,-16.01416,2
