GrLivArea,SalePrice
1023.8,1186
1016.275,1168
1017.15,1166
1015.575,1159
1016.3,1148
1017.9,1146
1026,1143
1018.2,1140
1009.366667,1130
1012.766667,1126
1017.7,1122
1020.1,1122
1017.133333,1116
1021.233333,1110
1009.733333,1095
1010.425,1093
1008.766667,1087
1017.1,1085
1008.75,1079
1019.525,1077
1018,1071
1025.8,1064
1012.65,1058
1023.9,1057
1010.425,1049
1017.475,1047
1016.7,1043
1022.2,1043
1017.65,1042
1007.266667,1041
1018.425,1032
1010.233333,1029
1015.75,1027
1016.225,1012
1013.1,1010
1022.825,997
1023.6,996
1023,993
1016.075,979
1019.3,977
1027.05,961
1022.925,958
1014.525,954
1022.35,943
1024.4,941
1008.475,939
1020.975,933
1022.1,917
1022.175,915
1018.725,914
1008.075,909
1014.15,907
1012.9,905
1015.15,903
1016.425,898
1013.425,897
1016.825,887
1009.933333,882
1020.35,878
1016.1,868
1012.7,863
1014.975,857
1024.525,855
1011.7,840
1019.675,837
1012.133333,835
1015.225,820
1021.766667,817
1018.1,809
1017.2,801
1019.35,799
1011.733333,789
1002.45,785
1020.725,776
1013.6,752
1016.725,752
1018.4,751
1013.266667,743
1017.233333,741
1019.15,738
1016.45,735
1023.125,712
1010.5,710
1021.725,699
1013.3,685
1017.85,684
1031.2,684
1017.175,682
1009.75,673
1014.1,670
1021.825,662
1009.825,655
1018.3,650
1005.8,644
1021.175,642
1014.5,633
1016.225,633
1025.575,633
1009.45,632
1018.733333,630
1014.55,623
1009.575,620
1023.675,610
1019.6,609
1016.6,608
1009.9,603
1007.925,599
1004.65,593
1011.35,593
1014.366667,593
1010.933333,587
1013.8,581
1015.866667,574
1010.8,570
1021.925,569
1019.925,568
1018.55,567
1020.3,567
1017.35,564
1010.9,562
1014.3,558
1012.4,555
1015.8,552
1017.675,551
1022.525,544
1019.55,541
1014.35,534
1020.825,531
1011.966667,527
1012.666667,526
1013.7,525
1019.1,520
1013.925,520
1018.95,520
1019.05,517
1010.433333,501
1020.175,497
1023.25,489
1016.15,484
1017.75,482
1010.533333,473
1017.1,473
1019.9,473
1011.675,470
1022.975,470
1006.55,467
1024.2,461
1021.05,460
1014.125,456
1013.433333,449
1019.45,441
1013.133333,436
1013.875,431
1014.825,427
1018.825,423
1010.225,420
1017.4,417
1011.35,414
1027.45,412
1006.933333,409
1011.866667,405
1014.8,402
1020.5,399
1010.766667,393
1015.133333,390
1013.275,390
1010.066667,389
1016.525,378
1019.875,378
1027.4,373
1022.533333,372
1012.225,363
1022.475,355
1012.325,354
1028.475,353
1016.45,351
1022.8,349
1013.033333,348
1016.8,346
1024.9,339
1019.033333,339
1026.8,333
1024.125,332
1023.45,329
1020.475,325
1022.45,315
1017.075,312
1019,308
1013.2,307
1016.225,307
1019.825,306
1027.85,304
1008.975,301
1006.45,296
1010.6,294
