GrLivArea,SalePrice
28.93333333,444
27.66666667,441
29.8,440
26.475,431
27.83333333,423
18.025,420
36.23333333,418
25.275,417
19.86666667,412
25.125,408
35.43333333,405
20.65,403
24.36666667,399
37.4,398
27.575,395
17.575,390
31.96666667,390
21.3,389
37.43333333,385
26.375,378
27.65,378
19.43333333,376
25.96666667,372
19.6,369
28.35,368
32.86666667,363
23.45,361
24.23333333,353
21.4,349
24.2,345
20.1,333
22,332
21.4,328
20.83333333,324
34.25,320
20.2,317
23.96666667,315
37.575,314
23.225,312
21.9,312
36.73333333,311
23.1,307
18.425,306
24.875,303
34.125,301
35.1,294
26.7,284
22.56666667,282
15.4,279
23.575,277
27.475,273
23.23333333,270
18.83333333,268
16.6,268
24.8,261
27.93333333,260
17.625,259
15.16666667,257
23.23333333,255
18.6,253
30.725,250
26.625,245
27.03333333,243
24.6,236
21.125,227
21.26666667,225
33.8,223
21.525,222
34.63333333,218
30.36666667,218
26.46666667,215
12.5,213
29.9,201
29.125,201
23.725,201
22.35,200
24.85,191
25.76666667,184
18.76666667,183
29.65,177
25.86666667,176
35.76666667,176
34.56666667,175
21.65,172
30.075,171
20.76666667,171
37.65,167
29.6,166
26.8,164
36.825,159
22.83333333,156
22.675,156
23.26666667,152
21.925,148
15.26666667,148
31.06666667,147
18.325,146
34.2,144
24.2,143
36.825,135
26.075,128
21.05,127
39.45,121
31.1,118
30.525,117
25.225,117
31.16666667,114
14.65,113
26.25,113
33.6,112
21.16666667,112
27.36666667,111
16,108
18.73333333,107
25.3,107
18.93333333,103
15.73333333,103
21.15,96
22.86666667,95
27.06666667,94
30.43333333,94
24.35,92
31.4,92
12.8,89
18.66666667,88
18.925,85
18.975,84
15.1,83
26.675,82
20.8,78
28.675,78
21.76666667,76
18.23333333,75
36.83333333,75
17.2,75
28.9,74
28.73333333,73
20.23333333,73
24.075,73
20.66666667,71
25.55,69
28.5,69
16.75,68
19.25,66
21.325,64
17.525,64
27.7,63
15.46666667,61
20.475,61
18.525,61
19.125,60
19.05,59
33,59
16.83333333,58
16.85,57
16.5,56
23.275,56
17.4,54
20.925,53
27.4,53
24.925,53
21.46666667,52
12.73333333,52
28.9,51
29.05,51
22.55,50
26.1,47
13.8,46
16.8,46
31.75,45
22.025,45
16.43333333,45
37.3,44
25.225,44
14.35,44
17.3,43
19.15,43
31.6,43
20.575,42
17.85,42
23.025,42
23.8,42
21.825,42
24.33333333,41
19.03333333,41
20.025,40
14.66666667,40
21.8,39
30.35,39
17.375,37
19.3,37
31.65,36
14.86666667,36
17.325,35
17.65,33
24.15,33
22.15,33
29.4,32
18.325,32
24.575,32
19.9,31
19.7,31
14.25,31
31.46666667,31
22.1,31
24.36666667,31
20.6,30
22.1,30
15.5,29
31,29
22.975,29
17.975,28
20.7,28
14.9,28
18.8,27
17.225,27
31.825,27
16.2,27
31.025,26
27.96666667,26
17.5,26
20,24
13.16666667,24
22.475,22
34.475,21
18.475,21
17.075,21
20.1,20
25.6,20
27.73333333,20
14.325,20
17.03333333,20
27.6,20
16.575,20
23.86666667,20
15.45,20
13.375,20
18.1,20
16.875,20
15.05,20
19.35,20
28.85,20
18.63333333,19
18.15,19
15.925,19
19.475,19
18.225,19
14.5,18
27.825,18
